,Country,Percent
0,Greece,0.007575757575757576
1,Canada,0.09090909090909091
2,United States,0.7765151515151515
3,Denmark,0.011363636363636364
4,Luxembourg,0.007575757575757576
5,Sweden,0.015151515151515152
6,Germany,0.026515151515151516
7,Netherlands,0.01893939393939394
8,Argentina,0.003787878787878788
9,Switzerland,0.003787878787878788
10,United Kingdom,0.011363636363636364
11,"Luxembourg,",0.003787878787878788
12,Belgium,0.003787878787878788
13,Poland,0.007575757575757576
14,"Massachusetts,",0.007575757575757576
15,Australia,0.003787878787878788
